date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_name,is_weekend
20171107,2017-11-07,7,11,November,Q4,2017,45,Tuesday,0
20171108,2017-11-08,8,11,November,Q4,2017,45,Wednesday,0
20171109,2017-11-09,9,11,November,Q4,2017,45,Thursday,0
20171110,2017-11-10,10,11,November,Q4,2017,45,Friday,0
20171111,2017-11-11,11,11,November,Q4,2017,45,Saturday,1
20171112,2017-11-12,12,11,November,Q4,2017,45,Sunday,1
20171113,2017-11-13,13,11,November,Q4,2017,46,Monday,0
20171114,2017-11-14,14,11,November,Q4,2017,46,Tuesday,0
20171115,2017-11-15,15,11,November,Q4,2017,46,Wednesday,0
20171116,2017-11-16,16,11,November,Q4,2017,46,Thursday,0
20171117,2017-11-17,17,11,November,Q4,2017,46,Friday,0
20171118,2017-11-18,18,11,November,Q4,2017,46,Saturday,1
20171119,2017-11-19,19,11,November,Q4,2017,46,Sunday,1
20171120,2017-11-20,20,11,November,Q4,2017,47,Monday,0
20171121,2017-11-21,21,11,November,Q4,2017,47,Tuesday,0
20171122,2017-11-22,22,11,November,Q4,2017,47,Wednesday,0
20171123,2017-11-23,23,11,November,Q4,2017,47,Thursday,0
20171124,2017-11-24,24,11,November,Q4,2017,47,Friday,0
20171125,2017-11-25,25,11,November,Q4,2017,47,Saturday,1
20171126,2017-11-26,26,11,November,Q4,2017,47,Sunday,1
20171127,2017-11-27,27,11,November,Q4,2017,48,Monday,0
20171128,2017-11-28,28,11,November,Q4,2017,48,Tuesday,0
20171129,2017-11-29,29,11,November,Q4,2017,48,Wednesday,0
20171130,2017-11-30,30,11,November,Q4,2017,48,Thursday,0
20171201,2017-12-01,1,12,December,Q4,2017,48,Friday,0
20171202,2017-12-02,2,12,December,Q4,2017,48,Saturday,1
20171203,2017-12-03,3,12,December,Q4,2017,48,Sunday,1
20171204,2017-12-04,4,12,December,Q4,2017,49,Monday,0
20171205,2017-12-05,5,12,December,Q4,2017,49,Tuesday,0
20171206,2017-12-06,6,12,December,Q4,2017,49,Wednesday,0
20171207,2017-12-07,7,12,December,Q4,2017,49,Thursday,0
20171208,2017-12-08,8,12,December,Q4,2017,49,Friday,0
20171209,2017-12-09,9,12,December,Q4,2017,49,Saturday,1
20171210,2017-12-10,10,12,December,Q4,2017,49,Sunday,1
